Code,Xsite,Xprofile,unicode,XLat,XLong,XYear,X14C,X14C_SD,Tau,C_bulk,Biomes,Order,Xlayer_top,Xlayer_bot,CFRAG,SDTO,STPC,CLPC,BULK,TAWC,ORGC,TOTN,CNrt,PHAQ,CECS,ECEC,CECc,TEB,BSAT,ESP,ALSA,TCEQ,GYPS,ELCO,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,Aspect,fm,fr1000,fr300,mrRTF,mrVBF,PI,planC,profileC,SD,SP,TPI,TWI,MNPP
1,Agnelli_2002_Cavalla,Agnelli_2002_Cavalla_401,Agnelli_2002_Cavalla_Agnelli_2002_Cavalla_401,43.7,11.6,1996,-217,6,2126,0.020415336,5,Inceptisols,11,23,14.33576662,50.81244002,38.79944761,10.38811238,1.222212897,20.76412409,34.54555282,2.474891627,15.30270217,5.062425456,16.06863035,7.647581831,60.85197122,5.983606548,33.70751343,0.924824704,33.17402806,0,7.609776026,0.988548853,8.245833397,6.108333588,26.67394447,618.8238525,21.20000076,-1.700000048,22.90000153,5.400000095,16.13333321,16.13333321,1.300000072,1562,200,61,30.47793198,543,237,237,447,195.7383608,25.07918479,338.2129114,132.0357018,9.69E-09,1.27E-08,1.149782463,0.000252,-0.000244,201.3415527,25.76035921,0.884801627,6.447167475,7.68900013
2,Agnelli_2002_Cavalla,Agnelli_2002_Cavalla_401,Agnelli_2002_Cavalla_Agnelli_2002_Cavalla_401,43.7,11.6,1996,-297,6,3283,0.006779251,5,Inceptisols,23,42,17.09166035,53.47961254,35.61516377,10.90522369,1.329794311,19.76429763,10.62469044,0.887601488,14.01798158,5.214035079,9.633796804,4.944841607,63.71856732,3.963124524,34.63506168,1.162938482,40.91161168,0.001915441,7.099865701,1.024739416,8.245833397,6.108333588,26.67394447,618.8238525,21.20000076,-1.700000048,22.90000153,5.400000095,16.13333321,16.13333321,1.300000072,1562,200,61,30.47793198,543,237,237,447,195.7383608,25.07918479,338.2129114,132.0357018,9.69E-09,1.27E-08,1.149782463,0.000252,-0.000244,201.3415527,25.76035921,0.884801627,6.447167475,7.68900013
3,Agnelli_2002_Cavalla,Agnelli_2002_Cavalla_402,Agnelli_2002_Cavalla_Agnelli_2002_Cavalla_402,43.7,11.6,1996,-177,6,1639,0.026481393,5,Inceptisols,11,23,14.33576662,50.81244002,38.79944761,10.38811238,1.222212897,20.76412409,34.54555282,2.474891627,15.30270217,5.062425456,16.06863035,7.647581831,60.85197122,5.983606548,33.70751343,0.924824704,33.17402806,0,7.609776026,0.988548853,8.245833397,6.108333588,26.67394447,618.8238525,21.20000076,-1.700000048,22.90000153,5.400000095,16.13333321,16.13333321,1.300000072,1562,200,61,30.47793198,543,237,237,447,195.7383608,25.07918479,338.2129114,132.0357018,9.69E-09,1.27E-08,1.149782463,0.000252,-0.000244,201.3415527,25.76035921,0.884801627,6.447167475,7.68900013
4,Agnelli_2002_Cavalla,Agnelli_2002_Cavalla_402,Agnelli_2002_Cavalla_Agnelli_2002_Cavalla_402,43.7,11.6,1996,-254,6,2628,0.008468904,5,Inceptisols,23,42,17.09166035,53.47961254,35.61516377,10.90522369,1.329794311,19.76429763,10.62469044,0.887601488,14.01798158,5.214035079,9.633796804,4.944841607,63.71856732,3.963124524,34.63506168,1.162938482,40.91161168,0.001915441,7.099865701,1.024739416,8.245833397,6.108333588,26.67394447,618.8238525,21.20000076,-1.700000048,22.90000153,5.400000095,16.13333321,16.13333321,1.300000072,1562,200,61,30.47793198,543,237,237,447,195.7383608,25.07918479,338.2129114,132.0357018,9.69E-09,1.27E-08,1.149782463,0.000252,-0.000244,201.3415527,25.76035921,0.884801627,6.447167475,7.68900013
5,Agnelli_2002_Cavalla,Agnelli_2002_Cavalla_403,Agnelli_2002_Cavalla_Agnelli_2002_Cavalla_403,43.7,11.6,1996,-43,6,438,0.099093616,5,Inceptisols,11,23,14.33576662,50.81244002,38.79944761,10.38811238,1.222212897,20.76412409,34.54555282,2.474891627,15.30270217,5.062425456,16.06863035,7.647581831,60.85197122,5.983606548,33.70751343,0.924824704,33.17402806,0,7.609776026,0.988548853,8.245833397,6.108333588,26.67394447,618.8238525,21.20000076,-1.700000048,22.90000153,5.400000095,16.13333321,16.13333321,1.300000072,1562,200,61,30.47793198,543,237,237,447,195.7383608,25.07918479,338.2129114,132.0357018,9.69E-09,1.27E-08,1.149782463,0.000252,-0.000244,201.3415527,25.76035921,0.884801627,6.447167475,7.68900013
6,Agnelli_2002_Cavalla,Agnelli_2002_Cavalla_Avg,Agnelli_2002_Cavalla_Agnelli_2002_Cavalla_Avg,43.7,11.6,1996,-37.2,4.740037845,405,0.107167911,5,Inceptisols,11,23,14.33576662,50.81244002,38.79944761,10.38811238,1.222212897,20.76412409,34.54555282,2.474891627,15.30270217,5.062425456,16.06863035,7.647581831,60.85197122,5.983606548,33.70751343,0.924824704,33.17402806,0,7.609776026,0.988548853,8.245833397,6.108333588,26.67394447,618.8238525,21.20000076,-1.700000048,22.90000153,5.400000095,16.13333321,16.13333321,1.300000072,1562,200,61,30.47793198,543,237,237,447,195.7383608,25.07918479,338.2129114,132.0357018,9.69E-09,1.27E-08,1.149782463,0.000252,-0.000244,201.3415527,25.76035921,0.884801627,6.447167475,7.68900013
7,Nastapoca,ALS-NAS-N1,Nastapoca_ALS-NAS-N1,56.91,76.55,1982,-418.2140548,4.288782043,5655,0.005327321,6,Alfisols,98,101,9.875104782,41.88344821,26.25171914,31.86483265,0.253828715,41.04955477,438.9698917,11.54760211,20.66961089,4.390312842,71.44167529,39.26546014,76.32565915,41.9482586,64.82369688,1.798483698,10.38906403,0,0,1.748424404,-0.025000164,10.78333282,23.04131126,1332.508789,24.29999924,-22.5,46.79999924,16.03333282,-7.933333397,16.03333282,-16.79999924,453,68,14,49.03997421,195,51,195,67,186.5736905,0.164544767,1.998438476,0.483467681,5.536108971,4.786872864,0.772403332,2.40E-05,2.60E-05,117.5102463,0.159835549,0.198130526,11.7502016,4.956999779
8,Nastapoca,ALS-NAS-N1,Nastapoca_ALS-NAS-N1,56.91,76.55,1982,-179.6875457,4.571282045,1653,0.006063905,6,Alfisols,33,35,14.40586641,30.00535633,35.70350199,34.29114168,0.118157701,45.81987953,495.5519515,11.77214285,28.35828337,4.567889058,101.7393768,35.95626573,58.39167619,73.34919053,66.40491475,0.903155513,4.493559668,0,0,1.323453889,-0.025000164,10.78333282,23.04131126,1332.508789,24.29999924,-22.5,46.79999924,16.03333282,-7.933333397,16.03333282,-16.79999924,453,68,14,49.03997421,195,51,195,67,186.5736905,0.164544767,1.998438476,0.483467681,5.536108971,4.786872864,0.772403332,2.40E-05,2.60E-05,117.5102463,0.159835549,0.198130526,11.7502016,4.956999779
9,Nastapoca,ALS-NAS-N1,Nastapoca_ALS-NAS-N1,56.91,76.55,1982,-229.1898821,4.512653718,2271,0.003610107,6,Alfisols,53,55,26.51744893,29.3290187,38.78833464,31.88264666,0.112574837,48.52165533,495.5433653,12.85452674,28.89782876,4.544871458,99.48133841,55.86989717,58.80870329,51.56950733,68.74351612,0.975296912,1.975954594,0,0,2.08568576,-0.025000164,10.78333282,23.04131126,1332.508789,24.29999924,-22.5,46.79999924,16.03333282,-7.933333397,16.03333282,-16.79999924,453,68,14,49.03997421,195,51,195,67,186.5736905,0.164544767,1.998438476,0.483467681,5.536108971,4.786872864,0.772403332,2.40E-05,2.60E-05,117.5102463,0.159835549,0.198130526,11.7502016,4.956999779
10,Lek-Vorkuta,LVPS4,Lek-Vorkuta_LVPS4,67.416667,63.366667,1999,0.296838709,4.784447403,245,0.037933355,7,Gelisols,2.5,3.5,3.367219847,29.00799624,56.03642695,14.95557681,0.762516128,22.46309314,126.1286755,8.807828222,19.24755029,5.335842398,50.94891894,23.26522329,45.26958403,19.88695609,90.91281631,2.007030545,8.597203833,0.00442149,2.71E-05,0.969023812,-5.916666508,8.616666794,19.85407066,1189.557495,18,-25.39999962,43.40000153,8.783333778,-14.75,9.483333588,-19.60000038,558,66,30,25.27113152,186,98,180,118,4.747378491,0.913481198,7.111570007,2.366763336,5.322824478,5.258117676,1.025853302,3.40E-05,-1.30E-05,77.24266815,0.838465075,0.025820161,10.15855002,1.92900002
