Code,Site,Latitude,Longititude,TNPP_Original,ANPP_Original,BNPP_Original,Unit,TNPP_unit_unified,ANPP_unit_unified,BNPP_unit_unified,Source,fBNPP,Biome type,Soil order,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,CFRAG,SDTO,STPC,CLPC,BULK,TAWC,ORGC,TOTN,CNrt,PHAQ,CECS,ECEC,CECc,TEB,BSAT,ESP,ALSA,TCEQ,GYPS,ELCO,Aspect,fm,fr1000,fr300,mrRTF,mrVBF,PI,planC,profileC,SD,SP,TPI,TWI,MNPP
1,"Rudranath, Garhwal Himalya",30.467,79.333,811,527,284,g/m2/yr,0.811,0.527,0.284,1989_Ram et al_Grassland_JEcology,35.0184957,4,Entisols,7.375,9.333333015,40.5797081,503.5532837,18.10000038,-4.900000095,23,12.21666622,4.916666508,12.64999962,0.616666615,2004,435,37,76.68896484,1067,195,950,398,17,48,31,21,1.1,19,47.61,3.36,14,5.6,20,12,43,7,40,1,18,0,7,1,165.2569202,38.26016958,887.5949311,278.7636692,1.34E-12,6.35E-12,1.547215058,-0.000327,-0.000171,220.3770142,40.21953627,-12.59561274,7.01657065,4.571000099
2,"Rudranath, Garhwal Himalya",30.467,79.333,902,453,449,g/m2/yr,0.902,0.453,0.449,1989_Ram et al_Grassland_JEcology,49.7782705,4,Entisols,7.375,9.333333015,40.5797081,503.5532837,18.10000038,-4.900000095,23,12.21666622,4.916666508,12.64999962,0.616666615,2004,435,37,76.68896484,1067,195,950,398,17,48,31,21,1.1,19,47.61,3.36,14,5.6,20,12,43,7,40,1,18,0,7,1,165.2569202,38.26016958,887.5949311,278.7636692,1.34E-12,6.35E-12,1.547215058,-0.000327,-0.000171,220.3770142,40.21953627,-12.59561274,7.01657065,4.571000099
3,Devon Island,75.55,-84.67,0.08,0.07,0.01,t/ha/yr,0.008,0.007,0.001,1995_Gilmanov et al_Tundra_JB,12.5,7,Gelisols,-16.74583435,6.591666698,15.4733963,1362.905396,6.099999905,-36.5,42.59999847,-0.616666675,-32.25,0.816666663,-32.25,218,43,4,76.02606201,110,12,104,12,42,69,21,10,1.38,22,6.05,0.74,16,7.7,33,23,54,25,77,2,0,79,29,1,289.3797156,6.201462417,43.30068429,10.48985791,0.171793759,0.515467346,0.584191407,0.000192,0.000111,46.58532715,6.201462417,0.666268161,8.226133052,0.098999999
4,Devon Island,75.55,-84.67,0.54,0.49,0.05,t/ha/yr,0.054,0.049,0.005,1995_Gilmanov et al_Tundra_JB,9.2592593,7,Gelisols,-16.74583435,6.591666698,15.4733963,1362.905396,6.099999905,-36.5,42.59999847,-0.616666675,-32.25,0.816666663,-32.25,218,43,4,76.02606201,110,12,104,12,42,69,21,10,1.38,22,6.05,0.74,16,7.7,33,23,54,25,77,2,0,79,29,1,289.3797156,6.201462417,43.30068429,10.48985791,0.171793759,0.515467346,0.584191407,0.000192,0.000111,46.58532715,6.201462417,0.666268161,8.226133052,0.098999999
5,Devon Island,75.55,-84.67,1.83,0.58,1.25,t/ha/yr,0.183,0.058,0.125,1995_Gilmanov et al_Tundra_JB,68.3060109,7,Gelisols,-16.74583435,6.591666698,15.4733963,1362.905396,6.099999905,-36.5,42.59999847,-0.616666675,-32.25,0.816666663,-32.25,218,43,4,76.02606201,110,12,104,12,42,69,21,10,1.38,22,6.05,0.74,16,7.7,33,23,54,25,77,2,0,79,29,1,289.3797156,6.201462417,43.30068429,10.48985791,0.171793759,0.515467346,0.584191407,0.000192,0.000111,46.58532715,6.201462417,0.666268161,8.226133052,0.098999999
6,Devon Island,75.55,-84.67,0.009,0.006,0.003,t/ha/yr,9.00E-04,6.00E-04,3.00E-04,1995_Gilmanov et al_Tundra_JB,33.3333333,7,Gelisols,-16.74583435,6.591666698,15.4733963,1362.905396,6.099999905,-36.5,42.59999847,-0.616666675,-32.25,0.816666663,-32.25,218,43,4,76.02606201,110,12,104,12,42,69,21,10,1.38,22,6.05,0.74,16,7.7,33,23,54,25,77,2,0,79,29,1,289.3797156,6.201462417,43.30068429,10.48985791,0.171793759,0.515467346,0.584191407,0.000192,0.000111,46.58532715,6.201462417,0.666268161,8.226133052,0.098999999
7,Queen Elizabeth Islands,75,-108,0.518,0.293,0.225,t/ha/yr,0.0518,0.0293,0.0225,1995_Gilmanov et al_Tundra_JB,43.4362934,7,Gelisols,-17.375,6.050000191,13.68778229,1458.921631,6.800000191,-37.40000153,44.20000076,0.216666743,-33.13333511,1.783333421,-33.13333511,76,16,2,68.38811493,41,7,37,7,32,60,25,15,1.38,20,18.84,1.12,14,7.2,24,22,44,17,70,2,0,39,16,1,166.3265234,6.080330753,40.33132411,14.28011026,0.353019297,0.406561285,0.299281266,0.000078,-0.00022,58.07894135,8.689182195,0.576933565,8.373527248,0.223000005
9,Cornwallis Island,74.75,-95,0.017,0.014,0.003,t/ha/yr,0.0017,0.0014,3.00E-04,1995_Gilmanov et al_Tundra_JB,17.6470588,7,Gelisols,-16.39583397,6.208333015,13.98273277,1440.936279,7.599999905,-36.79999924,44.39999771,0.98333329,-31.64999962,2.333333254,-32.33333206,144,34,3,73.78202057,78,11,68,13,32,60,25,15,1.38,20,18.84,1.12,14,7.2,24,22,44,17,70,2,0,39,16,1,321.8697643,4.525313957,24.44558228,8.504853744,4.721622467,3.028024912,0.591281529,-0.000263,-0.000432,51.9139328,4.525313957,1.0872914,12.56329512,0.090000004
10,Somerset Island,74.07,-93.88,0.015,0.0125,0.0025,t/ha/yr,0.0015,0.00125,0.00025,1995_Gilmanov et al_Tundra_JB,16.6666667,7,Gelisols,-16.64583397,6.258332729,13.84586906,1455.006226,7.900000095,-37.29999924,45.20000076,0.849999964,-32.18333435,2.216666698,-32.83333206,158,29,3,58.96880341,75,13,58,20,32,60,25,15,1.38,20,18.84,1.12,14,7.2,24,22,44,17,70,2,0,39,16,1,79.2949403,7.790737355,53.27780563,13.16161282,0.141007766,0.233748779,0.573692345,-0.000006,0.000568,52.30912781,7.790737355,1.09921158,7.597563608,0.171000004
11,Somerset Island,74.07,-93.88,0.0026,0.0017,9.00E-04,t/ha/yr,0.00026,0.00017,9.00E-05,1995_Gilmanov et al_Tundra_JB,34.6153846,7,Gelisols,-16.64583397,6.258332729,13.84586906,1455.006226,7.900000095,-37.29999924,45.20000076,0.849999964,-32.18333435,2.216666698,-32.83333206,158,29,3,58.96880341,75,13,58,20,32,60,25,15,1.38,20,18.84,1.12,14,7.2,24,22,44,17,70,2,0,39,16,1,79.2949403,7.790737355,53.27780563,13.16161282,0.141007766,0.233748779,0.573692345,-0.000006,0.000568,52.30912781,7.790737355,1.09921158,7.597563608,0.171000004
