Code,  ID,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated,fr0-0.2,fr0.2-0.4,fr0.4-0.6,fr0.6-0.8,fr0.8-1,fr1-1.5,fr1.5-2
1,BF14a,Abaimov et al. 1997,Central Siberia,64.3,100.18,-999,1,mass,0.09,0.82,yes,-999,12,-999,N,N,Closed shrubland,-999,455,391,summer maximum,0.14,0.28,0.14,0.28,0.819819496,0.16874528,0.009373065,0.001453709,0.000372554,0.000193748,2.97E-05
2,BF14b,Abaimov et al. 1997,Central Siberia,64.3,100.18,-999,1,mass,0.15,0.73,no,-999,2.5,-999,N,N,Closed shrubland,-999,455,391,summer maximum,0.08,0.22,0.08,0.23,0.927892229,0.060982521,0.007505943,0.001993213,0.000752573,0.000591318,0.000155647
3,HE04,Aerts 1993,The Netherlands,52.03,5.83,-999,Total,mass,1.79,1,yes,coarse,30,-999,N,N,Closed shrubland,8,746,800,"non-tropical,",0.07,0.6,0.08,0.88,0.754939859,0.12334267,0.044026816,0.021829138,0.012811983,0.016433897,0.007771538
4,RF15a,Alvarez-Lopez 1990,"Luquillo, Puerto Rico",18.38,-65.92,-999,Total,mass,9.62,0.5,no,fine,5,evergreen,N,Y,EBL forest / tropica,2,1566,4169,"non-tropical,",0.17,0.45,0.23,0.81,0.419001476,0.365864476,0.119139952,0.044595461,0.020247648,0.018848322,0.005987011
5,RF15b,Alvarez-Lopez 1990,"Mayagüez, Puerto Rico",18.2,-67.13,-999,Total,mass,12.28,0.5,no,fine,7,evergreen,N,Y,EBL forest / tropica,2,1533,2021,"tropical, seas",0.15,0.43,0.18,0.74,0.554641937,0.286015288,0.084017495,0.032497995,0.015484268,0.015405623,0.005345183
6,RF15c,Alvarez-Lopez 1990,"Patillas, Puerto Rico",17.98,-66,-999,Total,mass,4.32,0.5,no,organic,17,evergreen,N,Y,EBL forest / tropica,2,1533,730,"non-tropical,",0.19,0.46,0.3,0.89,0.250139677,0.43531396,0.18179144,0.067120425,0.02866409,0.024326233,0.006801945
7,RF15d,Alvarez-Lopez 1990,"Dorado, Puerto Rico",18.47,-66.4,-999,Total,mass,2.58,0.5,no,coarse,7,evergreen,N,Y,EBL forest / tropica,2,1566,1688,"non-tropical,",0.04,0.29,0.04,0.42,0.882400844,0.064615599,0.020407678,0.009627789,0.005496675,0.006874613,0.003175711
8,WC01a,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,0.37,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.1,0.41,0.12,0.73,0.696996513,0.179903456,0.055528998,0.02420545,0.012824037,0.014538877,0.005932029
9,WC01b,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,0.27,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.15,0.45,0.24,0.87,0.397272412,0.365493598,0.127642653,0.049654277,0.023068351,0.021946123,0.007136295
10,WC01c,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,0.67,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.1,0.31,0.1,0.36,0.831081191,0.129246404,0.023666226,0.00767949,0.003324469,0.003026578,0.000954862
11,WC01d,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,0.9,0.5,yes,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.12,0.42,0.14,0.72,0.655048115,0.213432002,0.063443177,0.026345117,0.013401261,0.014461037,0.005554469
12,WC01e,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,0.65,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.17,0.45,0.23,0.83,0.420514625,0.360168701,0.11955963,0.045588652,0.02098418,0.019826424,0.006409227
13,WC01f,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,0.29,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.1,0.39,0.11,0.64,0.730980618,0.165486175,0.0481509,0.020407769,0.010626097,0.011837834,0.004739976
14,WC01g,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,1.04,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.19,0.46,0.31,0.89,0.227313106,0.44344657,0.192617067,0.070436214,0.029564331,0.024515555,0.006647772
15,WC01h,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,1.41,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.13,0.41,0.15,0.65,0.640531252,0.237028556,0.064229005,0.024686516,0.011844749,0.011958278,0.004242444
16,WC01i,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,0.26,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.13,0.44,0.18,0.8,0.551807116,0.27685895,0.08635664,0.034976899,0.017229723,0.0177806,0.006439158
17,WC01j,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,5.58,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.05,0.3,0.05,0.4,0.876852265,0.073147341,0.021211603,0.009446083,0.005165941,0.006142715,0.002673693
18,WC01k,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,0.42,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.13,0.43,0.17,0.78,0.577885034,0.261509444,0.080238023,0.032640838,0.016192056,0.016880351,0.006197185
19,WC01l,Ares & Peinemann 1992,"Buenos Aires, Argentina",-38,-62.03,300-600,2,mass,1.25,0.5,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1038,800,summer maximum,0.15,0.42,0.17,0.67,0.586353743,0.276243414,0.074872022,0.027812397,0.012927216,0.012549191,0.004237191
20,RD01,Bang-xing 1991,"Yunnan, China",21.73,100.67,650,Total,mass,1.14,1.5,no,-999,-999,drought-deciduous,N,N,DBL forest / tropica,4,1107,1561,"tropical, seas",0.16,0.85,0.16,1.09,0.584779415,0.21836962,0.080587448,0.038258163,0.021336185,0.02543145,0.010922395
21,D01,Barbour et al. 1977,"Arizona, USA",32.42,-111.17,650 m,Total,mass,0.2,0.8,no,medium,0,winter-deciduous,N,N,open shrubland,9,1654,290,summer maximum,0.23,0.61,0.24,0.81,0.391423821,0.383532936,0.126896807,0.046698215,0.020813463,0.018929966,0.005836768
22,TD22,Bard 1952,"New Jersey, USA",40.47,-74.55,-999,Total,number,-999,1.95,yes,medium,2,winter-deciduous,N,N,DBL forest / tempera,4,792,1194,"non-tropical,",0.28,1.37,0.3,1.79,0.338858265,0.277525628,0.141775349,0.076199845,0.044820203,0.05502051,0.023804905
23,TG14,Barker et al. 1988,"North Island, New Zealand",-40.33,175.87,-999,Total,mass,1.92,0.8,no,-999,0,-999,N,N,Grassland,10,1124,1246,"non-tropical,",0.07,0.59,0.09,1.03,0.72403643,0.134340401,0.04980737,0.025156389,0.01493545,0.01938202,0.009275166
24,RG31a,Belsky 1994,"Tsavo Natl. Park, Kenya",-3.42,37.92,450,Total,number,-999,1,no,-999,0,drought-deciduous,N,N,Savanna,7,1352,450,"tropical, seas",0.37,0.91,0.53,1.71,0.079459604,0.250719437,0.247151925,0.160545656,0.093563533,0.100385037,0.033891278
25,RG31b,Belsky 1994,"Tsavo Natl. Park, Kenya",-3.42,37.92,450,Total,number,-999,1,no,-999,0,-999,N,N,Grassland,10,1352,450,"tropical, seas",0.33,0.89,0.43,1.6,0.152476766,0.307096561,0.218848798,0.122359248,0.068113028,0.073771096,0.02640012
26,RG31c,Belsky 1994,"Tsavo Natl. Park, Kenya",-2.75,38.13,767,Total,number,-999,1,no,-999,0,drought-deciduous,N,N,Savanna,7,1498,767,"tropical, seas",0.33,0.89,0.44,1.64,0.146223244,0.30065295,0.220005288,0.125268613,0.070481439,0.076983783,0.027729637
27,RG31d,Belsky 1994,"Tsavo Natl. Park, Kenya",-2.75,38.13,767,Total,number,-999,1.2,no,-999,0,-999,N,N,Grassland,10,1498,767,"tropical, seas",0.43,1.08,0.58,1.99,0.07290916,0.218737245,0.228584222,0.162864986,0.102901916,0.120307726,0.044259943
28,RE10a,Berish & Ewel 1988,Costa Rica,9.9,-83.67,-999,5,surface,-999,0.85,no,fine,0,evergreen,N,N,EBL forest / tropica,2,1313,2700,"non-tropical,",0.1,0.66,0.13,1.19,0.639422702,0.177347003,0.067531231,0.033765975,0.019728664,0.024960002,0.011535195
29,RE10b,Berish & Ewel 1988,Costa Rica,9.9,-83.67,-999,5,surface,-999,0.85,no,fine,0,evergreen,N,N,EBL forest / tropica,2,1313,2700,"non-tropical,",0.06,0.66,0.09,1.23,0.71076768,0.132083267,0.051516199,0.026927984,0.016396994,0.021915575,0.010846249
30,RE10c,Berish & Ewel 1988,Costa Rica,9.9,-83.67,-999,5,surface,-999,0.85,no,fine,0,evergreen,N,N,EBL forest / tropica,2,1313,2700,"non-tropical,",0.12,0.68,0.16,1.23,0.579845146,0.209800193,0.081163845,0.039990641,0.022938087,0.028243551,0.01259256
31,RE10d,Berish & Ewel 1988,Costa Rica,9.9,-83.67,-999,5,surface,-999,0.85,no,fine,0,evergreen,N,N,EBL forest / tropica,2,1313,2700,"non-tropical,",0.07,0.67,0.11,1.3,0.671013377,0.152331772,0.059803818,0.031015963,0.018704552,0.02463952,0.011960776
32,RE01a,Berish 1982,Costa Rica,9.88,-83.67,650 m,Total,mass,0.22,0.85,no,fine,0,evergreen,N,N,EBL forest / tropica,2,1313,2700,"non-tropical,",0.13,0.59,0.14,0.85,0.641592883,0.205744897,0.067626042,0.030119649,0.01611602,0.018402014,0.00754669
33,RE01b,Berish 1982,Costa Rica,9.88,-83.67,60 m,Total,mass,1.29,0.85,no,fine,0,evergreen,N,N,EBL forest / tropica,2,1313,2700,"non-tropical,",0.11,0.55,0.12,0.76,0.693144208,0.179056271,0.056529841,0.025015831,0.013397676,0.015375059,0.006361952
34,RE01c,Berish 1982,Costa Rica,9.88,-83.67,1200 m,Total,mass,1.56,0.85,no,fine,0,evergreen,N,N,EBL forest / tropica,2,1313,2700,"non-tropical,",0.14,0.66,0.16,1.11,0.58399871,0.217055173,0.080711981,0.038544981,0.021592162,0.025868775,0.011175996
35,HW05a,Bernard & Fiala 1986,"New York, USA",42.5,-76.42,-999,Total,mass,0.59,0.2,no,-999,-999,-999,N,Y,Grassland,10,765,900,summer maximum,0.06,0.18,0.09,0.33,0.859310553,0.107775252,0.019517326,0.006371595,0.002776547,0.002549263,0.000813268
36,HW05b,Bernard & Fiala 1986,"New York, USA",42.5,-76.42,-999,Total,mass,0.26,0.2,no,-999,-999,-999,N,Y,Grassland,10,765,900,summer maximum,0.09,0.18,0.11,0.3,0.852518991,0.125356638,0.015287993,0.003886124,0.00141539,0.001067396,0.000266464
37,HW05c,Bernard & Fiala 1986,"New York, USA",42.5,-76.42,-999,Total,mass,0.5,0.2,no,-999,-999,-999,N,Y,Grassland,10,765,900,summer maximum,0.02,0.06,0.02,0.06,0.997915713,0.00175851,0.00021586,5.91E-05,2.29E-05,1.85E-05,5.07E-06
38,BF05a,Bhatti et al. 1998,"Ontario, Canada",49.05,-81.5,-999,5,mass,0.29,0.4,no,organic,10,evergreen,N,N,ENL forest / boreal,1,636,838,summer maximum,0.15,0.31,0.16,0.37,0.68648525,0.275030133,0.028941547,0.00604753,0.001896105,0.001213943,0.000245113
39,BF05b,Bhatti et al. 1998,"Ontario, Canada",49.05,-81.5,-999,5,mass,0.59,0.4,no,organic,10,evergreen,N,N,ENL forest / boreal,1,636,838,summer maximum,0.15,0.27,0.15,0.29,0.783281478,0.204357146,0.010319199,0.001476311,0.00035692,0.000174777,2.47E-05
40,TG28a,Bickova & Zirin 1963,"Vladimir, Russia",56.25,41.25,-999,Total,mass,0.68,0.8,no,-999,0,-999,N,N,Pasture,10,632,591,summer maximum,0.06,0.43,0.06,0.58,0.826724198,0.094724393,0.030600101,0.014440457,0.008212928,0.010194957,0.004656774
41,TG28b,Bickova & Zirin 1963,"Vladimir, Russia",56.25,41.25,-999,Total,mass,0.69,0.8,no,-999,0,-999,N,N,Pasture,10,632,591,summer maximum,0.06,0.25,0.06,0.26,0.918159479,0.0601606,0.011958278,0.004242444,0.001971839,0.001950551,0.000682524
42,TG28c,Bickova & Zirin 1963,"Vladimir, Russia",56.25,41.25,-999,Total,mass,0.96,0.8,no,-999,0,-999,N,N,Pasture,10,632,591,summer maximum,0.01,0.14,0.01,0.16,0.960128465,0.020368933,0.006736423,0.003329034,0.001976269,0.002597702,0.001275658
43,TG28d,Bickova & Zirin 1963,"Vladimir, Russia",56.25,41.25,-999,Total,mass,1.52,0.8,no,-999,0,-999,N,N,Pasture,10,632,591,summer maximum,0.08,0.22,0.08,0.22,0.935051973,0.055795527,0.006322675,0.001602944,0.000585694,0.00044411,0.000111761
44,RG27a,Bille 1977,"Sahel, Senegal",16.22,-15.1,40,Total,mass,0.13,6,no,coarse,0,drought-deciduous,N,N,Savanna,7,2124,316,"tropical, seas",0.23,2.61,0.23,2.61,0.45774666,0.203936872,0.100067693,0.057462386,0.036670857,0.050733237,0.025630187
45,RG27b,Bille 1977,"Sahel, Senegal",16.22,-15.1,40,Total,mass,0.98,6,yes,coarse,0,drought-deciduous,N,N,Savanna,7,2124,316,"tropical, seas",0.33,2.05,0.33,2.05,0.308470501,0.268442818,0.146958441,0.082641209,0.050074385,0.063303434,0.028183793
46,RG27c,Bille 1977,"Sahel, Senegal",16.22,-15.1,40,Total,mass,0.23,2,no,coarse,0,-999,N,N,Grassland,10,2124,316,"tropical, seas",0.11,1.02,0.11,1.25,0.67354755,0.153381322,0.059546491,0.03063804,0.018367183,0.024027236,0.011571069
47,RG21,Blagoveshchenskiy 1968,NW India,26.27,72.97,-999,Total,mass,0.19,0.9,no,coarse,0,drought-deciduous,N,N,Savanna,7,2183,355,summer maximum,0.3,0.81,0.44,1.54,0.135503442,0.308726526,0.230349775,0.128416278,0.070208138,0.073774186,0.025335043
48,SG30a,Boikov & Kharitonov 1998,"Buryatia, Russia",51.95,106.78,-999,Total,mass,1.51,0.5,no,-999,0,-999,N,N,Grassland,10,640,435,summer maximum,0.04,0.31,0.04,0.47,0.872512722,0.067496961,0.022166499,0.010705509,0.006214968,0.007923243,0.003741355
49,SG30b,Boikov & Kharitonov 1998,"Buryatia, Russia",51.95,106.78,-999,Total,mass,2.49,0.5,no,-999,0,-999,N,N,Grassland,10,640,435,summer maximum,0.07,0.38,0.08,0.64,0.785404141,0.121711846,0.038359932,0.017568956,0.009739221,0.011703599,0.005136386
50,SG30c,Boikov & Kharitonov 1998,"Buryatia, Russia",51.95,106.78,-999,Total,mass,1.54,0.5,no,-999,0,-999,N,N,Grassland,10,640,435,summer maximum,0.06,0.32,0.07,0.43,0.845903863,0.098220284,0.026127928,0.010883294,0.005653081,0.006323363,0.002557377
51,RG37,Bowden 1963,Uganda,0.47,32.45,-999,Total,mass,1.05,0.8,no,fine,0,-999,Y,N,Pasture,10,1209,1400,"non-tropical,",0.07,0.58,0.08,1,0.744252285,0.122926603,0.045669701,0.023244987,0.013906029,0.018235452,0.008843274
52,TG38,Bowns & Box 1964,"Sinton, Texas, USA",28.08,-97.26,-999,Total,mass,0.16,0.81,no,coarse,0,-999,N,N,Grassland,10,1254,880,summer maximum,0.13,0.69,0.2,1.32,0.5,0.246783552,0.100594844,0.049504634,0.028042773,0.033741552,0.014547758
53,D24,Bowns & West 1976,"SW Utah, USA",37.3,-113.95,1280,Total,mass,2.57,0.4,no,medium,0,-999,N,N,open shrubland,9,1387,274,"non-tropical,",0.08,0.34,0.11,0.64,0.730980618,0.165486175,0.0481509,0.020407769,0.010626097,0.011837834,0.004739976
